Entry,Post-Flight,Start Value
Front handspring,"Double twist or greater
Front tuck full or greater, half back tuck half
Pike half or greater
Layout, all twists including half back layout
Double front",10
Front handspring,"Front tuck
Front tuck half
Front pike","9.8
9.9
9.9"
Front handspring half-on,3/2 twist off,10
Front handspring full-on,"3/2 or greater twist off
Any-shaped salto",10
Tsuk,"Tuck 3/2
Layout half or greater
Double tuck",10
Front handspring into board,"FHS + front tuck half
FHS + any front pike variation
FHS + double twist
Tsuk + back tuck full or greater
Tsuk + back layout half or greater
Tsuk + double tuck",10
Front handspring into board,FHS + front tuck,9.9
Yurchenko,"Back tuck 3/2 or greater
Back layout 3/2 or greater
Double back",10
Yurchenko,"Half
Full",9.95
Yurchenko,Layout,9.75
Yurchenko half-on,"Double twist
Front tuck half or greater or half back tuck
Any pike or layout variation",10
Yurchenko half-on,Front tuck,9.95
Yurchenko full-on,"Double twist
Any salto variations",10
Yurchenko 1.5-on,Full twist,10
